[00:09.980 --> 00:10.980]  Oh, nice.
[02:33:43.390 --> 02:33:45.470]  And that one still got to five feet.
[02:33:45.470 --> 02:33:47.470]  I did have to tie it back to two stakes.
[02:33:47.470 --> 02:33:48.590]  And it was like an S.
[02:33:50.670 --> 02:33:57.870]  The main stem came up and then I had to tie it back because it was going to go over the
[02:33:57.870 --> 02:33:58.370]  fence.
[02:33:59.710 --> 02:34:04.830]  But that's what got hit with the sour stomper, thor pollen.
[02:34:04.830 --> 02:34:06.270]  But yeah, I'll get some of this.
[02:34:06.270 --> 02:34:06.910]  I'll get some of this.
[02:34:06.910 --> 02:34:10.110]  I'll get some of the other one.
[02:34:10.990 --> 02:34:12.190]  Yeah, it kind of went like that.
[02:34:13.230 --> 02:34:14.910]  That's how you get an eight foot plant.
[02:34:14.910 --> 02:34:19.630]  And this is all, I still have the buds hanging like this, you know what I mean?
[02:34:20.270 --> 02:34:23.230]  But yeah, it looks like antlers if I get them together.
[02:34:23.230 --> 02:34:27.070]  I want to like, I know the Mendo Dope Boys make a microphone stand.
[02:34:27.950 --> 02:34:30.270]  But I was going to make some antlers out of that.
[02:34:32.670 --> 02:34:33.710]  That's hilarious.
[02:34:33.710 --> 02:34:35.870]  Because it's like a candelabra.
[02:34:35.870 --> 02:34:38.510]  Like that's the space I have to deal with.
[02:34:38.510 --> 02:34:41.630]  But I am growing some pretty monster plants for the space.
[02:34:42.350 --> 02:34:43.150]  Fuck yeah, man.
[02:34:44.590 --> 02:34:45.870]  Killing the grow space.
[02:34:46.910 --> 02:34:47.790]  No, it's killing me.
[02:34:47.790 --> 02:34:48.990]  Seriously, it's killing me.
[02:34:50.750 --> 02:34:51.950]  Well, what the...
[02:34:53.390 --> 02:34:54.590]  Before they put you to bed.
[02:34:57.230 --> 02:34:59.230]  So what do you got?
[02:35:00.110 --> 02:35:00.830]  Go ahead, please.
[02:35:01.950 --> 02:35:02.670]  No, no, no.
[02:35:02.670 --> 02:35:06.030]  Please talk to the chef because I'm just, I have the gift to gab.
[02:35:06.750 --> 02:35:09.470]  And my tangents go all over the place.
[02:35:09.470 --> 02:35:12.190]  So, it's about the plant.
[02:35:12.190 --> 02:35:14.270]  We're having a good three-way conversation.
[02:35:14.270 --> 02:35:14.830]  It's all good.
[02:35:14.830 --> 02:35:16.590]  Everybody likes hearing from you too.
[02:35:17.230 --> 02:35:17.790]  It's cool.
[02:35:18.510 --> 02:35:19.710]  Nobody's watching the clock.
[02:35:21.390 --> 02:35:25.550]  But yeah, I was just kind of going to ask, you know, what is going to be coming up in
[02:35:26.510 --> 02:35:27.870]  your grow rooms?
[02:35:27.870 --> 02:35:29.790]  And this is a question for both of you.
[02:35:29.790 --> 02:35:31.470]  Maybe we'll start with chef this time.
[02:35:32.350 --> 02:35:33.710]  Shout out to Budgasm.
[02:35:33.710 --> 02:35:34.750]  Thank you, Peter.
[02:35:34.750 --> 02:35:35.070]  Yeah, yeah.
[02:35:35.070 --> 02:35:36.430]  This is next on our list.
[02:35:36.430 --> 02:35:38.030]  I just got this in the mail today.
[02:35:39.470 --> 02:35:40.110]  Nice, man.
[02:35:40.110 --> 02:35:41.630]  Excited to get those started.
[02:35:41.630 --> 02:35:43.470]  And he gave me some daga.
[02:35:43.470 --> 02:35:44.190]  Some daga.
[02:35:44.190 --> 02:35:45.150]  Oh, that's right.
[02:35:45.870 --> 02:35:46.190]  Huh?
[02:35:46.750 --> 02:35:47.710]  So I don't know if I...
[02:35:47.710 --> 02:35:48.910]  You know, I'm jealous.
[02:35:48.910 --> 02:35:51.390]  You guys already got your beans warming up.
[02:35:52.670 --> 02:35:53.950]  A little lemon degreaser.
[02:35:54.910 --> 02:35:55.550]  Yeah, yeah.
[02:35:55.550 --> 02:35:56.190]  That's it, right?
[02:35:56.910 --> 02:35:57.310]  Yeah.
[02:35:57.310 --> 02:35:58.670]  You know, he gave me...
[02:35:58.670 --> 02:36:01.470]  I was joking with the chef earlier before we got on.
[02:36:01.470 --> 02:36:02.670]  I was like, oh, wow.
[02:36:02.670 --> 02:36:04.430]  He sent me some arugula seeds.
[02:36:05.630 --> 02:36:08.670]  Did they know that I let all my shit pollinate outside?
[02:36:08.670 --> 02:36:09.870]  So I have arugula.
[02:36:09.870 --> 02:36:10.910]  I have chives.
[02:36:10.910 --> 02:36:11.870]  I have it popping up.
[02:36:11.870 --> 02:36:17.870]  Like, I don't have to plant arugula anymore, but I'm going to see if this is a better variety.
[02:36:17.870 --> 02:36:21.230]  But the chef allowed me to use his weed whacker.
[02:36:21.230 --> 02:36:24.910]  And he came up and remember, all he smelled was chives and arugula because...
[02:36:25.710 --> 02:36:27.310]  Oh, so beautiful.
[02:36:27.310 --> 02:36:30.350]  So my neighbors have packs and packs of my seeds.
[02:36:31.790 --> 02:36:32.430]  All over the...
[02:36:34.190 --> 02:36:35.310]  I have arugula farm.
[02:36:35.310 --> 02:36:37.150]  So I was like, yeah, and I love arugula.
[02:36:37.150 --> 02:36:38.590]  So I'm excited to see...
[02:36:39.230 --> 02:36:40.270]  Now the name is different.
[02:36:42.350 --> 02:36:48.990]  And I'm wondering, I know he's got a farm out here in Connecticut or New England somewhere.
[02:36:48.990 --> 02:36:50.270]  I was watching him one time.
[02:36:50.270 --> 02:36:52.030]  So thank you, Peter.
[02:36:52.030 --> 02:36:52.750]  Mad respect.
[02:36:53.630 --> 02:36:57.150]  This program and this platform has been amazing.
[02:36:57.150 --> 02:36:57.790]  I've been a fan.
[02:36:57.790 --> 02:37:01.470]  I've been a participant watching and listening.
[02:37:02.190 --> 02:37:07.550]  And yeah, thank you for helping elevate the craft.
[02:37:07.550 --> 02:37:10.510]  This is like, it's a valuable resource for everybody.
[02:37:11.630 --> 02:37:12.590]  I've learned so much.
[02:37:13.790 --> 02:37:14.670]  He's awesome.
[02:37:15.230 --> 02:37:16.270]  Because he does.
[02:37:16.270 --> 02:37:18.750]  He likes to send out a lot of seeds from his own garden.
[02:37:19.710 --> 02:37:22.350]  That I saw that I was envious of that garden.
[02:37:22.350 --> 02:37:22.990]  Oh, yeah.
[02:37:22.990 --> 02:37:24.110]  It's some heirloom stuff.
[02:37:24.110 --> 02:37:25.150]  I think it's in Connecticut.
[02:37:25.870 --> 02:37:27.950]  Fruit trees and stuff they're putting in and stuff.
[02:37:27.950 --> 02:37:29.150]  I think, oh man, that looks...
[02:37:29.790 --> 02:37:30.830]  Yeah, he's got...
[02:37:32.110 --> 02:37:34.030]  He's up at the Emerald Cup right now.
[02:37:34.030 --> 02:37:37.310]  So he's living life.
[02:37:38.670 --> 02:37:40.430]  Hopefully living life up there, man.
[02:37:40.430 --> 02:37:42.110]  I don't see any live feeds.
[02:37:42.110 --> 02:37:46.350]  So hopefully he's just being able to be Peter and kick it instead of having to manage a
[02:37:46.350 --> 02:37:50.990]  microphone and cameras and pull people in and do all these things that he does without
[02:37:51.550 --> 02:37:52.430]  thinking twice.
[02:37:52.990 --> 02:37:54.910]  But hopefully, yeah, he's the man, dude.
[02:37:55.870 --> 02:37:57.550]  Get some relaxing time, Peter.
[02:37:58.270 --> 02:37:59.390]  You deserve it.
[02:37:59.390 --> 02:37:59.950]  You deserve it.
[02:38:01.070 --> 02:38:04.190]  But yeah, so actually we're gonna have to pop these soon.
[02:38:04.190 --> 02:38:05.870]  Did you get any, Chef?
[02:38:05.870 --> 02:38:06.670]  Did you get some yet?
[02:38:06.670 --> 02:38:07.950]  I haven't gotten mine yet.
[02:38:07.950 --> 02:38:12.910]  But I didn't get a chance to email Peter until I think two days after John did, I think.
[02:38:12.910 --> 02:38:14.990]  So I'll be patient.
[02:38:14.990 --> 02:38:16.030]  I'll give him some time.
[02:38:16.270 --> 02:38:17.790]  Let him get home from the Emerald Cup.
[02:38:17.790 --> 02:38:22.030]  And then I'll be joining you all on that as well very soon.
[02:38:22.030 --> 02:38:26.750]  I just got a little two small tents to accommodate.
[02:38:26.750 --> 02:38:29.230]  I got a little two by two for germinating some stuff.
[02:38:29.230 --> 02:38:34.830]  And then I got a three by three for some teenage plants that'll help stage out some stuff.
[02:38:34.830 --> 02:38:41.870]  That way I can make room for this stuff and some new genetics that we're gonna be digging
[02:38:41.870 --> 02:38:43.150]  into here pretty soon too.
[02:38:44.670 --> 02:38:45.230]  Nice.
[02:38:45.230 --> 02:38:48.190]  And yeah, that's kind of how I set it up here too.
[02:38:48.190 --> 02:38:50.990]  I got the little, the two by two that's on its side.
[02:38:50.990 --> 02:38:52.910]  That's where I do my cloning and seed popping.
[02:38:52.910 --> 02:38:54.110]  And then I got a three by three.
[02:38:54.110 --> 02:38:57.630]  And I'm just gonna have to flower these early.
[02:38:57.630 --> 02:38:59.790]  I'm going back to Amsterdam in April.
[02:38:59.790 --> 02:39:06.350]  So these need to like sprout, veg, and finish before April 15th.
[02:39:07.070 --> 02:39:07.550]  Then I got it.
[02:39:07.550 --> 02:39:10.910]  Yeah, I saw that you were planning a trip for 420.
[02:39:11.630 --> 02:39:13.150]  Yes, 420.
[02:39:13.150 --> 02:39:14.910]  Gonna finally be on.
[02:39:14.910 --> 02:39:15.950]  I love Amsterdam.
[02:39:15.950 --> 02:39:20.270]  We go once a year, but we're gonna be there actually on 420 this year.
[02:39:20.270 --> 02:39:23.230]  So hell yeah, that'll be a fun day.
[02:39:23.230 --> 02:39:25.230]  I already know where we're gonna be, what we'll do.
[02:39:26.270 --> 02:39:29.710]  It's yeah, Amsterdam's a really easy city to get around.
[02:39:30.670 --> 02:39:33.390]  Easy to figure out where everything is too.
[02:39:33.390 --> 02:39:35.470]  So it's awesome.
[02:39:35.470 --> 02:39:36.590]  I'm looking forward to it.
[02:39:37.470 --> 02:39:40.350]  It sounds like such a good time to be going there, man.
[02:39:40.350 --> 02:39:44.670]  It's probably a really happening time at Amsterdam for sure.
[02:39:45.310 --> 02:39:46.590]  We'll find out, man.
[02:39:46.590 --> 02:39:47.150]  We'll find out.
[02:39:47.150 --> 02:39:49.230]  It'll be my first 420 there.
[02:39:50.590 --> 02:39:51.390]  Thank you.
[02:39:51.390 --> 02:39:54.910]  So yeah, so these will be new in the garden for all of us.
[02:39:56.430 --> 02:40:00.590]  Anything new genetics wise, or even just like practice wise?
[02:40:00.590 --> 02:40:05.230]  Anything, any SOPs you're changing, any equipment you're changing,
[02:40:05.230 --> 02:40:08.350]  any soil recipes you're changing next time?
[02:40:10.190 --> 02:40:11.470]  How about you, John, first?
[02:40:12.430 --> 02:40:13.470]  I'm running.
[02:40:13.470 --> 02:40:16.990]  I just said, Chef helped me set up a five by five and also this tent
[02:40:16.990 --> 02:40:20.190]  so I can press my rosin and not take up the kitchen
[02:40:20.190 --> 02:40:22.750]  and respect Maria's kitchen upstairs.
[02:40:23.710 --> 02:40:25.470]  So I'm in this like six by eight.
[02:40:25.470 --> 02:40:28.750]  This is my squishing and freeze drying.
[02:40:28.750 --> 02:40:29.870]  The pump will be outside.
[02:40:31.070 --> 02:40:36.430]  So this is my kind of clean room or spot to accommodate the space that I don't have
[02:40:36.430 --> 02:40:37.870]  because the space is still killing me.
[02:40:37.870 --> 02:40:39.550]  I know that's a callback.
[02:40:39.630 --> 02:40:50.270]  But yeah, so I just set up a five by five.
[02:40:51.630 --> 02:40:53.870]  I pulled down a three by three because it was also
[02:40:54.590 --> 02:40:56.430]  all the mylar was peeling off of it.
[02:40:56.430 --> 02:40:58.430]  I didn't like the fact that I could see like glitter.
[02:40:58.430 --> 02:41:01.630]  I'm like, oh, I haven't been to the club.
[02:41:01.630 --> 02:41:03.550]  I swear it's on the tent.
[02:41:04.430 --> 02:41:06.030]  Anyway, I'm just being a wise ass.
[02:41:06.030 --> 02:41:08.110]  But seriously, I was like, I got to get rid of this
[02:41:08.110 --> 02:41:10.670]  because even though I'm only vegging in it, I'm not flowering in it.
[02:41:10.670 --> 02:41:12.510]  It's like, I don't know what's in this.
[02:41:12.510 --> 02:41:13.630]  That's not cool.
[02:41:13.630 --> 02:41:16.350]  So I set up a five by five in the three by five space
[02:41:16.990 --> 02:41:21.230]  and I just outfitted it with two three 15s.
[02:41:24.190 --> 02:41:27.950]  350 R-spec HLG and then solar cure bulb.
[02:41:27.950 --> 02:41:30.670]  So we're going to see how that's going to be.
[02:41:30.670 --> 02:41:31.230]  That's flower.
[02:41:32.430 --> 02:41:34.350]  That's floor flower room two.
[02:41:34.350 --> 02:41:36.350]  Now that's flower room two.
[02:41:36.350 --> 02:41:38.350]  The eight by eight is where I flower everything in.
[02:41:38.350 --> 02:41:42.430]  And I dry in it because it's easier to keep that 60 60.
[02:41:42.430 --> 02:41:45.310]  Like right now I have a whole room, you know, so.
[02:41:46.030 --> 02:41:47.470]  And I'm still crawling around, dude.
[02:41:47.470 --> 02:41:49.550]  I'll send you pictures of like those plants.
[02:41:49.550 --> 02:41:50.670]  I had 12 of those plants.
[02:41:50.670 --> 02:41:51.390]  That's my limit.
[02:41:52.030 --> 02:41:54.830]  And basically had to.
[02:41:55.390 --> 02:41:57.390]  And I'm getting too old to be crawling around on my.
[02:41:57.390 --> 02:41:59.630]  But, you know, it's my plant yoga.
[02:41:59.630 --> 02:42:00.750]  I do the do the.
[02:42:02.350 --> 02:42:04.270]  Yeah, I got I got to go through.
[02:42:04.270 --> 02:42:06.510]  And then I have things tied down.
[02:42:08.590 --> 02:42:09.390]  It's just I'm not.
[02:42:10.750 --> 02:42:13.390]  Well, you learn a lot by doing it different ways.
[02:42:13.390 --> 02:42:16.190]  And I and I actually learned a lot from this last run,
[02:42:16.190 --> 02:42:18.270]  having different size plants in there.
[02:42:18.270 --> 02:42:22.110]  And I'm really interested to see what's going to yield more or less
[02:42:22.110 --> 02:42:24.910]  from the plants that were vegged more or less.
[02:42:24.910 --> 02:42:25.470]  You know what I mean?
[02:42:27.390 --> 02:42:30.590]  So if it's worth growing the bigger plant,
[02:42:30.590 --> 02:42:32.270]  but it's about the plant count, too.
[02:42:32.350 --> 02:42:34.750]  So it's kind of like that's.
[02:42:36.110 --> 02:42:37.150]  Yeah, that's the thing.
[02:42:37.150 --> 02:42:44.350]  Like I can choose to run more smaller plants or only a few larger plants.
[02:42:44.350 --> 02:42:47.310]  I like variety, so I typically opt for the more smaller.
[02:42:48.910 --> 02:42:54.030]  But last, you know, that last run was bigger and it filled the full,
[02:42:54.030 --> 02:42:56.030]  you know, four filled the full tent.
[02:42:56.030 --> 02:42:58.190]  So, hey, whatever.
[02:42:58.190 --> 02:42:59.710]  I'll be smoking it for a while.
[02:42:59.710 --> 02:43:01.550]  Good thing it's the ones that I love most.
[02:43:02.270 --> 02:43:05.870]  And sometimes the ones that you love most are the ones that you need to grow more of,
[02:43:05.870 --> 02:43:08.990]  because then you realize just like any jar, if that's your favorite,
[02:43:08.990 --> 02:43:12.590]  that jar is gone first to concentrate, whatever it is you're going to,
[02:43:13.310 --> 02:43:18.590]  you know, and then you're like, oh, that was my medicine where I should have grown more of those.
[02:43:18.590 --> 02:43:19.630]  Why am I growing this?
[02:43:20.270 --> 02:43:23.630]  And you're trying to find out the next thing that might be the better thing.
[02:43:23.630 --> 02:43:26.590]  But in the meantime, you still need to grow your medicine.
[02:43:26.590 --> 02:43:30.510]  So it's kind of hard to not want to have half of the room, your medicine.
[02:43:30.510 --> 02:43:32.910]  And then the other half of this stuff you're trying to hunt and find,
[02:43:33.550 --> 02:43:37.310]  you know, because you want to, you know, if you're not looking,
[02:43:37.310 --> 02:43:38.830]  you're not going to find anything new.
[02:43:38.830 --> 02:43:44.990]  And so, well, yeah, maybe we can touch on that real quick, too,
[02:43:44.990 --> 02:43:50.190]  because I recently had to do that in the sake of finding new stuff.
[02:43:50.190 --> 02:43:52.030]  You know, I have limited space.
[02:43:52.030 --> 02:43:56.670]  There's only so many I can grow and I have things that I like,
[02:43:56.670 --> 02:43:58.510]  but I want to discover new things.
[02:43:58.510 --> 02:44:02.910]  And you can't do that by just a couple of plants at a time.
[02:44:02.910 --> 02:44:07.230]  It's you know, I've got a lot of seeds that I need to go through or want to go through.
[02:44:08.190 --> 02:44:10.190]  So I, we all do.
[02:44:10.190 --> 02:44:11.790]  I whittled it down, man.
[02:44:11.790 --> 02:44:15.070]  I'm down to like two basic like keeper strains.
[02:44:15.070 --> 02:44:17.790]  I got the Westport grape juice and I got the Kool-Aid man,
[02:44:17.790 --> 02:44:20.350]  like those I will never get tired of.
[02:44:20.350 --> 02:44:22.910]  And they're unlike I saw a photo of that, man.
[02:44:22.910 --> 02:44:24.430]  That other things, beautiful.
[02:44:25.310 --> 02:44:26.110]  Thank you, man.
[02:44:26.750 --> 02:44:31.310]  Yeah, that was the most trichome on a plant I've ever had.
[02:44:32.510 --> 02:44:36.030]  And like the, actually, that's what I've been smoking this whole time.
[02:44:36.030 --> 02:44:38.270]  The effects and the taste back it up, too.
[02:44:38.270 --> 02:44:43.150]  Like it could be ugly and I would still love it, but it's freaking sexy and I love it.
[02:44:43.150 --> 02:44:44.750]  So that's even better.
[02:44:44.750 --> 02:44:46.270]  But that's why it's one of the keepers.
[02:44:46.910 --> 02:44:50.430]  But yeah, how do you guys or how often do you reset?
[02:44:50.430 --> 02:44:56.030]  Because I usually, I used to say three runs before I'm like bump it or dump it.
[02:44:56.030 --> 02:44:58.590]  Now I'm kind of like two runs.
[02:44:59.150 --> 02:45:01.550]  One, I'm trying to call things faster.
[02:45:01.550 --> 02:45:05.870]  Just I'm not giving like things the chance that I would have before.
[02:45:05.870 --> 02:45:10.670]  I'm a little bit more ruthless, but I do still want two runs on something
[02:45:11.310 --> 02:45:13.070]  just to see if it changed.
[02:45:13.070 --> 02:45:18.670]  But that also gives me enough time because I'm perpetual to properly cure a flower
[02:45:18.670 --> 02:45:21.230]  before I have to make the decision to take a clone or not.
[02:45:21.230 --> 02:45:26.590]  So how do you guys go through that process of finding new strains?
[02:45:26.590 --> 02:45:29.790]  And how long do you keep it around before you bump it or dump it?
[02:45:32.030 --> 02:45:42.270]  So I'm very much like you there, but also trying to find the time and space to get into new stuff.
[02:45:42.270 --> 02:45:49.710]  Like I've been keeping some stuff for not quite as long as John, but a little over a year now
[02:45:49.710 --> 02:45:51.870]  on something or close to it anyway.
[02:45:52.910 --> 02:46:00.190]  And it's time for me to decide what out of that group is really special.
[02:46:01.230 --> 02:46:09.070]  So I can move into a lot new here because after the next, like you said, two or three runs is
[02:46:09.070 --> 02:46:13.470]  really like it had been three, but now it's looking like it's got to be two.
[02:46:14.430 --> 02:46:15.550]  And that's half a year too.
[02:46:16.670 --> 02:46:18.110]  Three runs is six months.
[02:46:18.110 --> 02:46:21.150]  If you're perpetual and you're on time with a 60 day flowering plant.
[02:46:21.150 --> 02:46:25.230]  So sorry to cut you off there, but we're saying like two or three people are like two or three.
[02:46:25.230 --> 02:46:29.550]  Like, dude, that's half a year, half a year to decide whether like I want to keep it or not.
[02:46:30.910 --> 02:46:31.230]  Right.
[02:46:31.230 --> 02:46:34.830]  You really get, well, I mean, when you have a few things, you have to really get a good
[02:46:34.830 --> 02:46:37.390]  evaluation of each one and rotating.
[02:46:37.390 --> 02:46:38.830]  You want to make it right.
[02:46:38.830 --> 02:46:43.470]  Like you said, when you get a second, like it might not come out awesome on the first run,
[02:46:43.470 --> 02:46:44.750]  you got to give it another run.
[02:46:44.750 --> 02:46:48.750]  Maybe if it's really good, you give it a third.
[02:46:48.750 --> 02:46:54.430]  But like in that time, it's like, well, I'm hanging on to this library and the library is
[02:46:54.430 --> 02:47:00.430]  growing, but the seed library is growing faster.
[02:47:02.990 --> 02:47:07.230]  So that's all the, uh, there's been so many wonderful things to pop.
[02:47:07.230 --> 02:47:11.230]  It's just like, I have my tent that I'm in now.
[02:47:11.230 --> 02:47:14.910]  That is my five by 10 is my like main medicine tent.
[02:47:15.630 --> 02:47:22.350]  Um, and then I have a five by five, so I have my medical and my rec plants.
[02:47:23.630 --> 02:47:26.830]  And then I can veg as well.
[02:47:27.470 --> 02:47:29.710]  So I can have a six and three.
[02:47:30.590 --> 02:47:31.870]  So I have six and one and three.
[02:47:33.230 --> 02:47:37.630]  Well, your plants outside were so big that rippers were able to just come by and cut
[02:47:37.630 --> 02:47:38.750]  off colas of that mat.
[02:47:39.470 --> 02:47:40.190]  Well, yeah.
[02:47:40.190 --> 02:47:42.830]  So over the fence, over the second, I'm at a club.
[02:47:42.830 --> 02:47:44.590]  Oh, yeah.
[02:47:44.590 --> 02:47:50.190]  I have to kind of accordingly prepare that like my runs are preparing for my outside stuff.
[02:47:50.190 --> 02:47:50.430]  Right.
[02:47:51.230 --> 02:47:58.110]  So I have to like make sure stuff's going to finish in the spring if I'm flowering so that
[02:47:58.110 --> 02:48:01.950]  I can use some space as veg space for what's going to be going outside.
[02:48:01.950 --> 02:48:07.870]  I have some cloush greenhouses, like small, small ones that go over some raised beds that
[02:48:07.870 --> 02:48:10.510]  I've been putting my recycled soil in and reinventing.
[02:48:10.510 --> 02:48:17.550]  So I have raised beds and some pots that are recycled.
[02:48:17.550 --> 02:48:25.070]  So like I also have a five by five greenhouse that I'm going to be upgrading from and putting
[02:48:25.070 --> 02:48:28.270]  all my beds under a 10 by 20 greenhouse.
[02:48:28.270 --> 02:48:33.710]  So that'll be like the security has been upgraded significantly.
[02:48:35.470 --> 02:48:35.790]  Yeah.
[02:48:36.750 --> 02:48:37.390]  Yeah.
[02:48:37.390 --> 02:48:38.190]  Rippers suck.
[02:48:38.830 --> 02:48:43.390]  But that's again, everything is different about growing outside.
[02:48:44.830 --> 02:48:45.790]  Part of learning, right?
[02:48:46.430 --> 02:48:46.990]  Yeah.
[02:48:46.990 --> 02:48:47.310]  Yeah.
[02:48:47.870 --> 02:48:48.270]  Really.
[02:48:49.230 --> 02:48:49.950]  Part of learning.
[02:48:51.710 --> 02:48:52.430]  Part of learning.
[02:48:52.430 --> 02:48:57.310]  You should see the marvelous GG4 lime one that Brandon Russ that he grew outdoors.
[02:48:57.390 --> 02:49:01.950]  It was really interesting to see the different expression of it being grown outdoors, you know?
[02:49:02.910 --> 02:49:03.550]  That was awesome.
[02:49:06.350 --> 02:49:06.590]  Yeah.
[02:49:08.110 --> 02:49:09.470]  Got it in the jar.
[02:49:09.470 --> 02:49:09.950]  Nice.
[02:49:12.190 --> 02:49:16.990]  Got to have those turf close by because once you crack that jar, it hits you in the face and
[02:49:16.990 --> 02:49:19.470]  it's super limey gas all day.
[02:49:20.270 --> 02:49:21.710]  But yeah, I'm excited.
[02:49:21.710 --> 02:49:22.830]  That's actually on the lineup.
[02:49:22.830 --> 02:49:26.590]  You asked a little while ago what's coming up next on the next.
[02:49:26.670 --> 02:49:28.750]  So let me see.
[02:49:28.750 --> 02:49:32.670]  I have the GMO root beer that's coming out.
[02:49:32.670 --> 02:49:33.150]  Some candy.
[02:49:33.150 --> 02:49:34.510]  I'm for one second.
[02:49:34.510 --> 02:49:42.270]  Some hot rod, the knockout runs, the Malawi dog and the island fritter.
[02:49:42.270 --> 02:49:43.870]  So that'll be done in a month.
[02:49:43.870 --> 02:49:48.830]  Then going into flower after that will be, let me see.
[02:49:49.790 --> 02:50:02.750]  Two of the sour diesel SFBOGs, a sour diesel back cross, another Natty Bumpo from Gone to Rubble Dan,
[02:50:03.710 --> 02:50:07.550]  and another GMO root beer.
[02:50:08.510 --> 02:50:21.790]  And then following that, once that's done, I will have a dozy dough, the archive cut.
[02:50:24.110 --> 02:50:24.590]  Let me see.
[02:50:26.910 --> 02:50:28.910]  There's so much shit to remember sometimes, Chad.
[02:50:31.150 --> 02:50:32.110]  It is, man.
[02:50:33.230 --> 02:50:34.590]  Got to be organizing.
[02:50:34.590 --> 02:50:36.350]  I got my calendar over here.
[02:50:36.430 --> 02:50:38.670]  It's like rotations, rotations.
[02:50:39.710 --> 02:50:44.510]  Hey, this is some of your dozy dough that you grew outdoors, right?
[02:50:44.510 --> 02:50:45.790]  Dozy dough from outdoors.
[02:50:46.350 --> 02:50:47.390]  Flower rosin.
[02:50:47.390 --> 02:50:50.030]  Yeah, the color on that flower rosin is great.
[02:50:50.030 --> 02:50:53.470]  The thing about dozy is surefire asher, right?
[02:50:56.350 --> 02:50:58.510]  I think the yield I got on that was unreal.
[02:50:58.510 --> 02:51:02.510]  Usually I get like a 25 or higher percent yield.
[02:51:02.510 --> 02:51:09.470]  That was a 30, 33% yield on that outdoor sun-grown flower rosin.
[02:51:09.470 --> 02:51:10.270]  I was like, what?
[02:51:11.630 --> 02:51:12.430]  Yeah, so let me see.
[02:51:12.430 --> 02:51:14.590]  Oh, the dough is coming up.
[02:51:14.590 --> 02:51:16.590]  The MAC is coming up.
[02:51:16.590 --> 02:51:20.830]  The yuzu from the lime is going to be flowering again because that thing was phenomenal.
[02:51:22.350 --> 02:51:22.990]  Let me see.
[02:51:22.990 --> 02:51:24.270]  What else do we got going?
[02:51:24.270 --> 02:51:26.830]  The so dough will be coming up from Josh.
[02:51:26.830 --> 02:51:31.790]  And the so dough project was an exclusive drop from the regenerative conferences that
[02:51:31.790 --> 02:51:36.510]  Dutch Blooms put on in Humboldt, Michigan and Maine.
[02:51:37.150 --> 02:51:41.230]  And the pack you could only get with the ticket purchase, but he hooked it up with like,
[02:51:41.230 --> 02:51:42.990]  I think 30 seeds in each pack.
[02:51:42.990 --> 02:51:49.310]  And the idea behind it was that everybody in the regenerative conference is going to
[02:51:49.310 --> 02:51:54.510]  be getting into these seeds and looking for something that they think is special, right?
[02:51:54.510 --> 02:51:59.150]  And we're sharing this information and genetic as a community together, which is like pushing
[02:51:59.150 --> 02:51:59.950]  the plant forward.
[02:51:59.950 --> 02:52:00.990]  And that's what's important.
[02:52:00.990 --> 02:52:05.790]  Shout out to Josh Rutherford, Dutch Blooms for putting this together with all the speakers
[02:52:05.790 --> 02:52:08.990]  and all the attendees everywhere, really putting their work in.
[02:52:08.990 --> 02:52:15.870]  So the so dough is Mean Gene's root beer was that he doesn't let out to anybody.
[02:52:16.590 --> 02:52:24.190]  Mean Gene's root beer hit with the pollen from the Chemdog special reserve fuel mail
[02:52:24.190 --> 02:52:25.470]  from Kevin Dodry.
[02:52:26.110 --> 02:52:33.390]  And I think those are two that Josh sent out for the so dough project.
[02:52:33.390 --> 02:52:37.390]  So super excited for those root beer Chemdog fuel terms.
[02:52:38.270 --> 02:52:44.030]  And I think that Chemdog special reserve is what was in the black lime reserve.
[02:52:44.030 --> 02:52:44.750]  Black lime.
[02:52:45.630 --> 02:52:49.310]  Is that maybe I'm wrong there, but I think that's what's in there.
[02:52:49.310 --> 02:52:49.950]  I think you're correct.
[02:52:51.390 --> 02:52:51.950]  Okay, cool.
[02:52:52.830 --> 02:52:53.330]  Cool.
[02:52:53.390 --> 02:52:57.150]  So that's going to be some super, super good stuff.
[02:52:57.150 --> 02:53:02.510]  I think Sticky Ricky, shout out to him for a third time is already on the F3 version
[02:53:02.510 --> 02:53:04.350]  that he did this season on the farm.
[02:53:04.350 --> 02:53:06.510]  And I'm excited to flower mine.
[02:53:07.950 --> 02:53:10.110]  And what did he select for?
[02:53:12.910 --> 02:53:13.950]  What did he find?
[02:53:13.950 --> 02:53:15.230]  Like, what was he selecting for?
[02:53:15.230 --> 02:53:19.230]  He's like, oh, I'm going to keep, you know, going F3, F4, F5.
[02:53:19.230 --> 02:53:22.910]  Is he just crossing the cross or was there a particular intention?
[02:53:22.910 --> 02:53:25.710]  He's like, oh, this one's got more chem on it.
[02:53:26.910 --> 02:53:31.950]  I think I could be wrong and I'm going to be talking to him soon and doing some sampling
[02:53:31.950 --> 02:53:38.670]  with John and Ricky and another farmer or two on some flavors because he has some really
[02:53:38.670 --> 02:53:43.870]  interesting projects that he wants to discuss moving forward, some awesome genetics.
[02:53:43.870 --> 02:53:48.990]  But I think, and I could be wrong, like I said, I think he did an open pollination.
[02:53:48.990 --> 02:53:49.490]  Okay.
