[00:00.000 --> 00:01.340]  I did, I did.
[01:42:37.820 --> 01:42:39.700]  Terps, but I mean, like I said,
[01:42:39.700 --> 01:42:41.780]  the first thing I look at when I come into a room
[01:42:41.780 --> 01:42:43.460]  is the structure of the plants.
[01:42:43.460 --> 01:42:45.240]  That's my first like,
[01:42:45.240 --> 01:42:47.700]  and I mean, having a limited plant count,
[01:42:48.220 --> 01:42:50.140]  I do even have like a little bit of a culling process
[01:42:50.140 --> 01:42:51.580]  to where a lot of the runts
[01:42:51.580 --> 01:42:56.580]  and unappealable growing plants get kind of cut down
[01:42:57.500 --> 01:42:59.820]  like in veg to where they don't even make it
[01:42:59.820 --> 01:43:01.400]  to the selection.
[01:43:03.780 --> 01:43:05.900]  And there's exceptions to that, of course,
[01:43:05.900 --> 01:43:07.860]  and you got like a really rare pack of seeds
[01:43:07.860 --> 01:43:09.140]  and all that.
[01:43:09.140 --> 01:43:12.500]  But as far as like when I'm doing like these bigger seed pops
[01:43:12.500 --> 01:43:14.260]  and stuff, I like to eliminate those
[01:43:14.260 --> 01:43:17.580]  because I don't want the runs to try to tempt me
[01:43:18.420 --> 01:43:19.460]  into using them into my selection
[01:43:19.460 --> 01:43:22.540]  because I know that terps are something
[01:43:22.540 --> 01:43:25.620]  that is determined in the grow too.
[01:43:25.620 --> 01:43:28.740]  And you can even see like a little bit of change on terpenes
[01:43:28.740 --> 01:43:31.200]  when you change stuff around in your grow,
[01:43:32.580 --> 01:43:35.100]  as far as like the exact terps.
[01:43:35.100 --> 01:43:37.860]  So, I mean, I don't know, it's really a complex thing
[01:43:37.860 --> 01:43:39.340]  like as far as that goes.
[01:43:40.940 --> 01:43:43.260]  Well, yeah, terpenes are the plant's defenses.
[01:43:43.260 --> 01:43:47.520]  So, you could swing them one way or another for sure.
[01:43:48.420 --> 01:43:50.180]  And that's something that I've been kind of learning
[01:43:50.180 --> 01:43:52.900]  to play with too is like figuring out
[01:43:52.900 --> 01:43:56.980]  what environmental factors make the terps which way,
[01:43:56.980 --> 01:44:01.380]  and how I can use that to my advantage, so to speak.
[01:44:01.380 --> 01:44:03.660]  You know what, I would suggest to you
[01:44:03.660 --> 01:44:06.900]  like if you have a terp profile
[01:44:06.900 --> 01:44:09.840]  that you're really trying to push or encourage in a plant
[01:44:09.840 --> 01:44:14.700]  is feed that plant with plants that also have that terp.
[01:44:14.700 --> 01:44:16.300]  So, whether you did a ferment,
[01:44:16.300 --> 01:44:18.340]  whether you mulch it into the soil,
[01:44:18.340 --> 01:44:23.180]  whether you liquefied it, like juiced it
[01:44:23.180 --> 01:44:24.820]  and then sprayed it fully.
[01:44:24.820 --> 01:44:27.180]  And that brings me to a good point.
[01:44:27.180 --> 01:44:31.460]  I actually, I have practiced that.
[01:44:31.460 --> 01:44:34.620]  I'd always put the plants back into the same like pots,
[01:44:34.620 --> 01:44:37.340]  like when I'm doing like a no-till scenario.
[01:44:37.340 --> 01:44:39.380]  I mean, that's not always possible on these pheno hunts
[01:44:39.380 --> 01:44:41.740]  because you got to rotate the soil to a different strain.
[01:44:41.740 --> 01:44:45.100]  But when you got these bigger pots and stuff
[01:44:45.220 --> 01:44:46.700]  for running like the cuts and stuff,
[01:44:46.700 --> 01:44:49.420]  I do try to put the same plant back in the same soil
[01:44:49.420 --> 01:44:51.900]  with the compost from that plant.
[01:44:51.900 --> 01:44:54.820]  And then another thing I like to do too is like
[01:44:56.180 --> 01:45:00.020]  when I'm washing, I like to like sometimes
[01:45:00.020 --> 01:45:01.780]  make like a hash ferment out of it.
[01:45:01.780 --> 01:45:04.100]  Like for a while, I kind of got away from that
[01:45:04.100 --> 01:45:07.700]  because one thing you want to be sure of
[01:45:07.700 --> 01:45:10.420]  like when you're using like anything from your washroom
[01:45:10.420 --> 01:45:12.540]  is that like it's super clean.
[01:45:12.580 --> 01:45:14.660]  And like at a certain point,
[01:45:14.660 --> 01:45:18.340]  like I was helping out like a few friends and stuff
[01:45:18.340 --> 01:45:21.300]  and like, you know, washing some of their stuff.
[01:45:21.300 --> 01:45:26.300]  And it led to like getting PM and getting russets,
[01:45:26.860 --> 01:45:29.380]  you know, despite never taking in any cuts.
[01:45:31.140 --> 01:45:33.300]  I don't know, just a lot of bad things can come from it.
[01:45:33.300 --> 01:45:34.900]  I mean, it's the same as taking on a cut.
[01:45:34.900 --> 01:45:38.100]  So like, if you're going to use the nug from your washroom,
[01:45:38.100 --> 01:45:39.500]  you want to make sure you're not washing
[01:45:39.500 --> 01:45:41.620]  your friend's shit in there too.
[01:45:42.420 --> 01:45:44.540]  Especially if you're not willing to take a cut from them
[01:45:44.540 --> 01:45:47.500]  and put it in your garden, like it's the same thing.
[01:45:47.500 --> 01:45:52.000]  And I just, you know, I caution people about that.
[01:45:52.000 --> 01:45:56.780]  And yeah, I mean, that's one of my golden nuggets
[01:45:56.780 --> 01:45:58.180]  so to speak as Brian said.
[01:45:59.780 --> 01:46:02.940]  That's an invaluable lesson that I had to learn
[01:46:02.940 --> 01:46:05.300]  the hard way, unfortunately.
[01:46:05.300 --> 01:46:07.420]  And yeah.
[01:46:07.420 --> 01:46:09.060]  So the russets are coming through that way.
[01:46:09.060 --> 01:46:11.780]  I hadn't heard it kind of explained in that manner.
[01:46:12.660 --> 01:46:17.660]  Well, I did get russets from a friend's material
[01:46:17.860 --> 01:46:21.380]  and it was a pretty rough ride.
[01:46:21.380 --> 01:46:23.420]  And like, that was pretty much the only source
[01:46:23.420 --> 01:46:24.900]  that it could have came from.
[01:46:24.900 --> 01:46:27.580]  And like, it was a clear infestation.
[01:46:29.700 --> 01:46:31.580]  I never took any cuts.
[01:46:31.580 --> 01:46:33.260]  I still have never taken any cuts.
[01:46:33.260 --> 01:46:36.900]  I pride myself on finding my own selections.
[01:46:36.900 --> 01:46:39.820]  And, you know, cause like I said to you before,
[01:46:39.820 --> 01:46:40.940]  like a lot of times, you know,
[01:46:40.940 --> 01:46:44.180]  some of these cuts aren't always like the number one,
[01:46:44.180 --> 01:46:45.020]  you know, for people.
[01:46:45.020 --> 01:46:47.820]  And you also inherit a lot of problems with cuts.
[01:46:47.820 --> 01:46:51.020]  So I've always just kind of stood clear
[01:46:51.020 --> 01:46:53.420]  because I like to keep my environment clean
[01:46:53.420 --> 01:46:57.140]  and I like to be able to do my natural farming,
[01:46:57.140 --> 01:47:00.020]  so to speak, without having to worry about any
[01:47:00.020 --> 01:47:02.780]  of those like crazy factors that you can't really get
[01:47:02.780 --> 01:47:06.300]  unless you're taking in cuts and like doing other things.
[01:47:07.460 --> 01:47:11.620]  So to speak, you know, keeping it clean and closed loop.
[01:47:11.620 --> 01:47:13.780]  Yeah, it's all about keeping that loop closed.
[01:47:13.780 --> 01:47:15.660]  It's called biosecurity.
[01:47:15.660 --> 01:47:18.740]  One of the biggest failures in the cannabis community
[01:47:18.740 --> 01:47:21.740]  is not, you know, being really secure
[01:47:21.740 --> 01:47:24.260]  and making sure you're not a vector
[01:47:24.260 --> 01:47:28.460]  to bring in somebody's problem to someone else's problem.
[01:47:28.460 --> 01:47:29.300]  Absolutely.
[01:47:34.560 --> 01:47:36.840]  A lot, a lot.
[01:47:37.680 --> 01:47:42.000]  But there's also people that are doing compost
[01:47:42.000 --> 01:47:44.800]  with these foliar feeds, which is, again,
[01:47:44.800 --> 01:47:46.720]  you're pushing the plant to the next level.
[01:47:46.720 --> 01:47:48.800]  Yeah, second to that.
[01:47:48.800 --> 01:47:49.640]  For sure.
[01:47:50.800 --> 01:47:53.800]  So when is your guest popping on, Brian?
[01:47:53.800 --> 01:47:58.520]  Yeah, I thought, Peter, did you reach out to him?
[01:47:58.520 --> 01:48:01.440]  I thought I included him on the email.
[01:48:01.440 --> 01:48:02.280]  I thought he would have.
[01:48:02.280 --> 01:48:03.400]  I know, I definitely did.
[01:48:05.080 --> 01:48:05.960]  Let me find his.
[01:48:05.960 --> 01:48:07.000]  Maybe he got tied up.
[01:48:07.000 --> 01:48:08.760]  IG, hold on.
[01:48:11.160 --> 01:48:13.000]  That'd be cool if he could wrap on.
[01:48:13.000 --> 01:48:14.000]  That's really the thing, man.
[01:48:14.000 --> 01:48:15.960]  I hope he can pop on here because I feel like, you know,
[01:48:15.960 --> 01:48:17.400]  you get a lot of love from the people
[01:48:17.400 --> 01:48:18.960]  that the community respects.
[01:48:18.960 --> 01:48:22.520]  And so for you to come and continue on this journey, man,
[01:48:22.520 --> 01:48:25.200]  it's really cool to see you, you know,
[01:48:25.200 --> 01:48:26.960]  start this out for yourself.
[01:48:28.120 --> 01:48:29.240]  I appreciate it, Brian.
[01:48:29.240 --> 01:48:31.480]  I appreciate the opportunity to come on the show
[01:48:31.480 --> 01:48:33.160]  and talk about it a little bit
[01:48:33.160 --> 01:48:35.880]  and share a little bit of my perspective
[01:48:36.800 --> 01:48:38.800]  and yeah, I think it was a good thing.
[01:48:38.800 --> 01:48:40.440]  Thank you guys.
[01:48:40.440 --> 01:48:42.520]  Yeah, absolutely, my friend, absolutely.
[01:48:42.520 --> 01:48:45.240]  You know, it's all about getting a wide variety
[01:48:45.240 --> 01:48:49.200]  of people's opinions and methods out to the population
[01:48:49.200 --> 01:48:54.200]  out in the virtual world that we live in nowadays.
[01:48:55.560 --> 01:48:57.760]  Well, hopefully Peter will reach out to him,
[01:48:57.760 --> 01:48:59.440]  but our guest is pretty shrewd
[01:48:59.440 --> 01:49:01.840]  and I would say that he's never impressed.
[01:49:02.440 --> 01:49:06.760]  So it'd be great to see this little discussion
[01:49:06.760 --> 01:49:07.840]  between you two.
[01:49:11.320 --> 01:49:13.320]  So you can't tell us who it is, right?
[01:49:13.320 --> 01:49:14.160]  Still got to remain.
[01:49:14.160 --> 01:49:15.520]  Hopefully it'll just pop up, yeah.
[01:49:15.520 --> 01:49:16.880]  If not, then I'll just put it on there.
[01:49:16.880 --> 01:49:19.160]  But I text him even to remind him
[01:49:19.160 --> 01:49:22.520]  because I know sometimes it gets busy, but yeah.
[01:49:22.520 --> 01:49:23.520]  Nice.
[01:49:23.520 --> 01:49:25.280]  Were there any other questions out there, Peter,
[01:49:25.280 --> 01:49:26.720]  that you highlighted?
[01:49:32.500 --> 01:49:33.820]  Keys, buckets, heads.
[01:49:33.820 --> 01:49:34.860]  I saw that one.
[01:49:36.180 --> 01:49:38.860]  Hey, maybe we should scan the crowd,
[01:49:38.860 --> 01:49:41.100]  see where everybody is in the world.
[01:49:42.620 --> 01:49:44.020]  Hit us up, peeps.
[01:49:44.020 --> 01:49:46.540]  That really has become my little favorite thing.
[01:49:46.540 --> 01:49:47.380]  Isn't it?
[01:49:47.380 --> 01:49:50.100]  Just to see, like there's, I mean,
[01:49:50.100 --> 01:49:52.100]  half of those places, it's just amazing
[01:49:52.100 --> 01:49:54.460]  that everybody's here is just watching
[01:49:54.460 --> 01:49:57.860]  the shoot the shit, really, about cannabis.
[01:49:57.860 --> 01:49:59.700]  All right, so this one was asking,
[01:49:59.700 --> 01:50:02.780]  how do you call the bad bugs in compost?
[01:50:02.820 --> 01:50:05.700]  Well, you shouldn't have bad bugs in your compost.
[01:50:07.580 --> 01:50:10.660]  If you're making really aerobic compost,
[01:50:10.660 --> 01:50:13.900]  you're probably only gonna get roly-polies and worms
[01:50:13.900 --> 01:50:15.460]  or isopods and worms,
[01:50:16.620 --> 01:50:18.300]  but you're not gonna be getting things
[01:50:18.300 --> 01:50:21.900]  that are potentially gonna attack the plant
[01:50:21.900 --> 01:50:25.300]  because you're dealing with dead plant matter.
[01:50:25.300 --> 01:50:27.180]  So there's nothing there for them to attack.
[01:50:27.180 --> 01:50:30.380]  So chances are you're not gonna get any contaminants
[01:50:30.380 --> 01:50:31.900]  other than biological issues
[01:50:31.900 --> 01:50:35.620]  if you're making anaerobic compost.
[01:50:35.620 --> 01:50:36.860]  I think that's the biggest problem
[01:50:36.860 --> 01:50:40.380]  with most compost makers is that they can't get biology
[01:50:40.380 --> 01:50:43.420]  because they're running it too hot and too dry
[01:50:43.420 --> 01:50:45.980]  and or they're making putrefied shit
[01:50:45.980 --> 01:50:47.660]  because they're too wet
[01:50:47.660 --> 01:50:50.340]  and they're not checking your temps.
[01:50:50.340 --> 01:50:54.980]  So that's the only issue with compost.
[01:50:54.980 --> 01:50:56.660]  It's really not that hard to make,
[01:50:56.660 --> 01:50:58.220]  but you have to be dedicated.
[01:50:58.260 --> 01:50:59.180]  Yes, exactly.
[01:50:59.180 --> 01:51:00.940]  You have to be realistic with yourself.
[01:51:00.940 --> 01:51:02.720]  Are you gonna really commit to this?
[01:51:02.720 --> 01:51:04.660]  Because like Andrew had mentioned,
[01:51:04.660 --> 01:51:07.980]  if you're a busy human being constantly on the go,
[01:51:07.980 --> 01:51:10.820]  vermicomposting might be where it's at for you.
[01:51:10.820 --> 01:51:12.100]  Absolutely.
[01:51:12.100 --> 01:51:15.060]  Here's one that says 30-year-old compost.
[01:51:15.060 --> 01:51:18.940]  30 years old, it is just basically humate.
[01:51:18.940 --> 01:51:21.540]  It's been broken down to the finest particulate.
[01:51:21.540 --> 01:51:23.980]  It can be only biology,
[01:51:23.980 --> 01:51:27.260]  only bacteria could break that down more.
[01:51:27.260 --> 01:51:29.780]  And so that's probably not the ideal compost.
[01:51:29.780 --> 01:51:32.780]  You wanna have that nutrient value.
[01:51:32.780 --> 01:51:36.660]  It should be, if you're thermocomposting, thermophilic,
[01:51:36.660 --> 01:51:40.100]  it needs to be at least a year, if not two years old.
[01:51:40.100 --> 01:51:41.660]  If you're doing biologicals
[01:51:41.660 --> 01:51:46.580]  where you're basically doing low-temp composting,
[01:51:46.580 --> 01:51:49.260]  then it can be ready within a month.
[01:51:49.260 --> 01:51:50.860]  It really depends on your style.
[01:51:52.220 --> 01:51:56.140]  So Sean Russell, we can ask this question again
[01:51:56.140 --> 01:52:01.140]  when Alex Hardy's on or Mr. Toad or Doc Ray
[01:52:01.340 --> 01:52:03.780]  or some of the people who grow
[01:52:03.780 --> 01:52:07.700]  a lot of medically-specific cultivars.
[01:52:07.700 --> 01:52:11.340]  But so if you guys have recommendations,
[01:52:11.340 --> 01:52:13.100]  but also just I'm saying to Sean,
[01:52:13.100 --> 01:52:15.300]  remind me when we have one of those guys on
[01:52:15.300 --> 01:52:16.140]  and I'll throw the question up.
[01:52:16.140 --> 01:52:18.060]  Or Sean, just put up Mr. Toad on IG.
[01:52:18.060 --> 01:52:18.900]  Hit him up.
[01:52:18.900 --> 01:52:20.540]  He's there for you, man.
[01:52:20.540 --> 01:52:21.380]  He's doing the work.
[01:52:21.380 --> 01:52:22.540]  Or Alex Hardy.
[01:52:22.540 --> 01:52:23.860]  And same with Dragonfly.
[01:52:23.860 --> 01:52:26.900]  They can definitely steer you in the right directions.
[01:52:28.100 --> 01:52:29.540]  But they'll be back on soon.
[01:52:29.540 --> 01:52:31.900]  So you can also ask them.
[01:52:31.900 --> 01:52:32.740]  There you go.
[01:52:32.740 --> 01:52:34.300]  But I probably won't remember.
[01:52:34.300 --> 01:52:35.140]  Yeah.
[01:52:38.020 --> 01:52:40.380]  Yeah, this whole getting old thing sucks, huh?
[01:52:43.660 --> 01:52:45.900]  How frequently do you foliar feed?
[01:52:45.900 --> 01:52:48.740]  Yeah. Andrew, how often do you feed?
[01:52:48.740 --> 01:52:50.380]  I mean, it depends what you're asking
[01:52:50.380 --> 01:52:52.380]  if like what you're feeding.
[01:52:52.380 --> 01:52:53.220]  You know what I'm saying?
[01:52:53.220 --> 01:52:54.060]  You can't fully-
[01:52:54.060 --> 01:52:55.420]  You can't feed a maintenance solution.
[01:52:55.420 --> 01:52:56.260]  What do you do?
[01:52:56.260 --> 01:52:57.540]  Maintenance solution you can do every day.
[01:52:57.540 --> 01:52:59.020]  But like I said before,
[01:52:59.020 --> 01:53:03.780]  like I do it like every other day or even every two days
[01:53:03.780 --> 01:53:06.860]  to get that moisture and nutrient uptake.
[01:53:06.860 --> 01:53:08.540]  Like as we were talking about before,
[01:53:08.540 --> 01:53:09.740]  like it's kind of like,
[01:53:11.380 --> 01:53:14.020]  it kind of helps the plant like relax a little bit
[01:53:14.020 --> 01:53:16.820]  in the sense that it has to use less energy
[01:53:16.820 --> 01:53:20.940]  to get more uptake from the nutrient system
[01:53:20.940 --> 01:53:22.060]  through the roots.
[01:53:24.100 --> 01:53:25.740]  Yeah, amen to that, my friend.
[01:53:25.740 --> 01:53:26.580]  Amen.
[01:53:28.260 --> 01:53:30.580]  So do you guys think for the newer farmer
[01:53:30.580 --> 01:53:33.260]  using the humics and the fulvics
[01:53:33.260 --> 01:53:34.820]  and just kind of playing around with that
[01:53:34.820 --> 01:53:36.740]  so they can see how,
[01:53:36.740 --> 01:53:37.940]  it really is amazing to me
[01:53:37.940 --> 01:53:40.660]  how quickly the plant kind of reacts to that
[01:53:40.660 --> 01:53:43.780]  compared to other amendments and products.
[01:53:43.780 --> 01:53:45.900]  No, that's a great suggestion, Brian.
[01:53:45.900 --> 01:53:47.660]  There's a gold bar.
[01:53:47.660 --> 01:53:50.660]  If you apply a fulvic or humic,
[01:53:51.620 --> 01:53:54.220]  you will see plant reaction pretty darn quick,
[01:53:54.220 --> 01:53:56.300]  especially as in a young plant.
[01:53:57.220 --> 01:54:02.220]  So a combination of like full power or TM7 from BioAg,
[01:54:03.900 --> 01:54:06.660]  you're gonna see color literally,
[01:54:06.660 --> 01:54:10.500]  within 28, 24, 48 hours, if you're paying attention.
[01:54:10.500 --> 01:54:11.460]  That's the hard part,
[01:54:11.460 --> 01:54:13.540]  especially for the newer growers
[01:54:13.540 --> 01:54:17.660]  is that they don't have that experience,
[01:54:17.660 --> 01:54:19.580]  years and years of experience growing
[01:54:19.580 --> 01:54:22.220]  to see so that they wouldn't necessarily
[01:54:22.220 --> 01:54:25.180]  might notice that plant reaction.
[01:54:25.180 --> 01:54:27.420]  I mean, I know I, in my own experience,
[01:54:27.420 --> 01:54:30.460]  have had clients who I believe
[01:54:30.460 --> 01:54:32.220]  thought knew what they were talking about
[01:54:32.220 --> 01:54:34.100]  or knew what they were looking at.
[01:54:34.100 --> 01:54:36.500]  And I would spin their head and show them,
[01:54:36.500 --> 01:54:38.260]  hey, look at this plant, look at the color,
[01:54:38.260 --> 01:54:40.220]  look at the luster of the leaves,
[01:54:40.220 --> 01:54:44.420]  look at the size of the leaves or the size of the blooms.
[01:54:44.420 --> 01:54:45.620]  And then look at this one over here
[01:54:45.620 --> 01:54:47.580]  that was treated synthetically.
[01:54:47.580 --> 01:54:48.460]  What do you see?
[01:54:48.460 --> 01:54:50.820]  And when you stick their face in it, they get it.
[01:54:50.820 --> 01:54:54.220]  But if you don't, that's kind of the hard part.
[01:54:54.220 --> 01:54:57.340]  So maybe the suggestion is do a side by side,
[01:54:57.340 --> 01:55:01.100]  treat one plant one way and treat the other plant the other
[01:55:01.100 --> 01:55:03.340]  so that you can see it if you're not trained.
[01:55:05.300 --> 01:55:06.740]  But it is-
[01:55:06.740 --> 01:55:07.740]  Sorry, bud.
[01:55:07.740 --> 01:55:08.980]  Yeah, yeah, all good, man.
[01:55:08.980 --> 01:55:11.580]  It's amazing how well foliar works.
[01:55:13.180 --> 01:55:14.820]  I was gonna echo that part is,
[01:55:14.820 --> 01:55:16.460]  because once you have that trained eye,
[01:55:16.460 --> 01:55:18.100]  that part never really leaves you.
[01:55:18.740 --> 01:55:21.540]  Once you start to see what a real healthy plant looks like,
[01:55:21.540 --> 01:55:24.380]  especially a consistency over gardens, rows,
[01:55:24.380 --> 01:55:26.980]  depending on where you're at in your skillset,
[01:55:26.980 --> 01:55:29.940]  that's how you can also, I feel like, manage your team
[01:55:29.940 --> 01:55:32.420]  so that everybody starts to buy into the fact that like,
[01:55:32.420 --> 01:55:35.540]  hey, we're going with this microbial world now.
[01:55:35.540 --> 01:55:38.020]  Or if they are more familiar with that,
[01:55:38.020 --> 01:55:41.740]  I feel like letting them play with the soil itself
[01:55:41.740 --> 01:55:43.180]  and that kind of thing,
[01:55:43.180 --> 01:55:48.180]  allowing the team to basically see the worms
[01:55:48.380 --> 01:55:50.980]  and the avocado tech and all the little tips and tricks,
[01:55:50.980 --> 01:55:54.300]  I feel like, that whatever it takes for you
[01:55:54.300 --> 01:55:57.700]  to trust the process is kind of where I was going with that.
[01:55:57.700 --> 01:56:00.460]  Yeah, and well said, well said.
[01:56:00.460 --> 01:56:03.900]  Hey, doing it big time in Humboldt, send me some compost.
[01:56:03.900 --> 01:56:08.140]  Want to get you in the Ventura County Compost Cup.
[01:56:09.500 --> 01:56:13.060]  Go to venturacountycompost.com.
[01:56:13.940 --> 01:56:15.980]  Come on, California, send me some samples.
[01:56:15.980 --> 01:56:20.980]  Got to pitch that.
[01:56:21.420 --> 01:56:22.620]  What do you got, Peter?
[01:56:23.660 --> 01:56:27.740]  Now I was looking for that web, hold on.
[01:56:27.740 --> 01:56:32.740]  I was looking for that website, venturacountycompost.com.
[01:56:34.620 --> 01:56:38.020]  Yep, I texted you a picture of it.
[01:56:38.020 --> 01:56:39.620]  Right, right, right.
[01:56:39.620 --> 01:56:41.380]  But I'm trying to get the website.
[01:56:44.060 --> 01:56:47.460]  So VC compost.
[01:56:47.460 --> 01:56:49.100]  Oh, VC compost.
[01:56:49.100 --> 01:56:51.620]  Yep, vccompost.com.
[01:57:01.000 --> 01:57:01.840]  Okay.
[01:57:01.840 --> 01:57:02.680]  Struggling to get it up.
[01:57:06.320 --> 01:57:09.040]  So did he text back or no?
[01:57:10.360 --> 01:57:12.840]  No, Brian, he didn't text back, did he?
[01:57:15.200 --> 01:57:17.000]  I don't know, I didn't text him.
[01:57:17.000 --> 01:57:20.320]  That's why I was asking if, my phone was with my kids.
[01:57:20.320 --> 01:57:22.120]  I can run into the house real quick.
[01:57:27.160 --> 01:57:28.960]  Yeah, my good friend, Eric,
[01:57:28.960 --> 01:57:32.240]  basically we started talking about this months ago.
[01:57:33.240 --> 01:57:36.760]  And just like pot thoughts, chilling out, hanging.
[01:57:36.760 --> 01:57:40.280]  And he pulled this together in like a couple of weeks.
[01:57:41.960 --> 01:57:43.840]  So what do you guys got growing on right now?
[01:57:43.840 --> 01:57:45.760]  What do you guys, like strain-wise and whatnot,
[01:57:45.760 --> 01:57:47.360]  what are you guys excited about?
[01:57:49.640 --> 01:57:51.000]  I can't grow where I am.
[01:57:51.000 --> 01:57:55.280]  I signed a waiver at renting here in Oxnard.
[01:57:55.280 --> 01:57:58.920]  So unfortunately I can't even grow.
[01:57:58.920 --> 01:58:01.600]  And I did have a vegetable garden, it did really well,
[01:58:01.600 --> 01:58:04.000]  but they're doing a development nearby,
[01:58:04.000 --> 01:58:05.680]  a 50 house development.
[01:58:05.680 --> 01:58:08.160]  And we got overrun with groundhogs.
[01:58:08.160 --> 01:58:09.400]  I mean, like in the cartoons,
[01:58:09.400 --> 01:58:12.680]  I'd see plants getting sucked down into the ground.
[01:58:12.680 --> 01:58:15.280]  I was like, what the fuck's going on?
[01:58:16.120 --> 01:58:16.960]  Yeah, yeah.
[01:58:16.960 --> 01:58:17.800]  So it's-
[01:58:17.800 --> 01:58:19.960]  That's when nature gets in the way like that.
[01:58:19.960 --> 01:58:22.000]  That was my experience like with IMO.
[01:58:22.000 --> 01:58:24.600]  Like when I first started collecting IMO, man,
[01:58:24.600 --> 01:58:26.760]  the animals were just relentless.
[01:58:26.760 --> 01:58:28.400]  Like I didn't really have as much of a problem
[01:58:28.400 --> 01:58:29.480]  with it in Colorado.
[01:58:29.480 --> 01:58:31.760]  Like the animals pretty much left my stuff alone.
[01:58:31.760 --> 01:58:35.600]  But like when I came to Michigan,
[01:58:35.600 --> 01:58:39.440]  it was like every time I tried to set up an IMO collection,
[01:58:39.440 --> 01:58:41.120]  it's like something would get in there
[01:58:41.120 --> 01:58:44.880]  and just like completely contaminate the collection.
[01:58:45.640 --> 01:58:48.160]  Like just pull right through.
[01:58:48.160 --> 01:58:51.560]  I tried like putting like the screens on and stuff
[01:58:51.560 --> 01:58:53.480]  and like stapling them on and stuff.
[01:58:53.480 --> 01:58:55.360]  And like some critter, you know,
[01:58:55.360 --> 01:58:58.320]  whether it be a mouse or whatever would find its way in
[01:58:58.320 --> 01:59:01.480]  and then it would, you know, no good anymore.
[01:59:01.480 --> 01:59:03.640]  Yeah, they contaminated it in a heartbeat.
[01:59:06.440 --> 01:59:09.120]  Well, they want you guys all to dab it up.
[01:59:10.560 --> 01:59:11.600]  Begier, hit it.
[01:59:11.600 --> 01:59:14.000]  I've been doing one every 15 minutes.
[01:59:15.320 --> 01:59:16.720]  We've been dabbing a lot.
[01:59:16.720 --> 01:59:17.920]  We've been dabbing a lot.
[01:59:17.920 --> 01:59:20.960]  By the way, Peter, he's gonna be calling you here
[01:59:20.960 --> 01:59:21.800]  in a second.
[01:59:21.800 --> 01:59:22.640]  Oh, good.
[01:59:23.880 --> 01:59:24.720]  Oh, so you got a one.
[01:59:24.720 --> 01:59:26.960]  You all have been doing a dab every 15 minutes
[01:59:26.960 --> 01:59:28.480]  the last two hours?
[01:59:28.480 --> 01:59:29.320]  I don't think so.
[01:59:29.320 --> 01:59:30.160]  How about Ryan?
[01:59:30.160 --> 01:59:31.000]  I've only taken like,
[01:59:31.000 --> 01:59:33.080]  I took like two like big ass mouse legs though.
[01:59:33.080 --> 01:59:35.000]  So I haven't done this.
[01:59:36.360 --> 01:59:38.160]  I'm testing a theory I have.
[01:59:39.320 --> 01:59:42.080]  Maybe not big ass, but decent, decent legs.
[01:59:43.320 --> 01:59:44.400]  Very big ass.
[01:59:45.880 --> 01:59:47.960]  He does indeed speak.
[01:59:47.960 --> 01:59:48.800]  Yes.
[01:59:51.600 --> 01:59:55.200]  Well, he has earned the nickname standing coma.
[01:59:55.200 --> 01:59:56.040]  He can talk to.
[02:00:03.040 --> 02:00:04.200]  There's one for you.
[02:00:04.200 --> 02:00:05.040]  All right.
[02:00:06.960 --> 02:00:08.160]  You're up next, Andrew.
[02:00:09.440 --> 02:00:10.280]  I'm up next?
[02:00:10.280 --> 02:00:11.600]  You're up next.
[02:00:11.600 --> 02:00:12.440]  Okay.
[02:00:12.480 --> 02:00:13.400]  I'm up next?
[02:00:13.400 --> 02:00:14.680]  You're up next.
[02:00:14.680 --> 02:00:15.600]  I gotta heat up.
[02:00:15.600 --> 02:00:16.720]  Hold on.
[02:00:16.720 --> 02:00:17.640]  All right, heat it up.
[02:00:17.640 --> 02:00:19.840]  Peter, get your shit warmed up.
[02:00:19.840 --> 02:00:20.680]  Fuck no.
[02:00:20.680 --> 02:00:22.240]  I'm still high from before.
[02:00:24.000 --> 02:00:27.200]  And I got kids to deal with in like 20 minutes.
[02:00:27.200 --> 02:00:31.040]  Hey, so did Tom plant that pot yet?
[02:00:32.560 --> 02:00:35.600]  I put the creeping thyme in there.
[02:00:35.600 --> 02:00:36.440]  Okay.
[02:00:36.440 --> 02:00:39.000]  And that sprouted and that's starting to come up
[02:00:39.000 --> 02:00:39.960]  and take hold.
[02:00:40.160 --> 02:00:42.520]  And then I wanted to, I told you before,
[02:00:42.520 --> 02:00:44.920]  I wanna put a full term plant in there
[02:00:44.920 --> 02:00:48.080]  and I haven't popped or brought the full.
[02:00:48.080 --> 02:00:52.200]  I have a bunch of actually full terms
[02:00:52.200 --> 02:00:54.400]  that I'm transitioning to flower there.
[02:00:54.400 --> 02:00:56.440]  And then I'm gonna bring them inside to finish
[02:00:56.440 --> 02:00:58.200]  cause the days are getting longer.
[02:00:59.600 --> 02:01:02.120]  And then I'm gonna plant the full terms outside.
[02:01:02.120 --> 02:01:03.440]  Got you.
[02:01:03.440 --> 02:01:04.280]  Got you.
[02:01:04.280 --> 02:01:05.120]  I was confused.
[02:01:05.120 --> 02:01:06.080]  I thought with all those ones that you had,
[02:01:06.080 --> 02:01:07.960]  you had some full term seedlings.
